epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.391,1.62189,2.81614,2.61861,1.38409,0.58358,0.46654,0.48728,0.265,0.63316,0.4439,0.47,0.25916,1.75418,5.34728,2.11864,1.58544,0.00066358,0.00066358,0.00066358
2,221.692,1.66672,2.77598,1.81381,1.40583,0.6727,0.52394,0.57011,0.32521,0.70009,0.50394,0.5554,0.30719,1.65713,2.9892,1.68208,1.53539,0.0012644,0.0012644,0.0012644
3,321.178,1.66827,2.74321,1.59094,1.43027,0.73343,0.61024,0.67543,0.36335,0.74454,0.60827,0.66069,0.35783,1.63652,2.68442,1.38521,1.47629,0.00179922,0.00179922,0.00179922
4,422.087,1.61177,2.6199,1.43701,1.39399,0.78078,0.58169,0.681,0.37452,0.76769,0.59941,0.67172,0.38095,1.6774,2.80047,1.4238,1.51766,0.001703,0.001703,0.001703
5,522.36,1.59857,2.60245,1.39528,1.38525,0.76353,0.70866,0.77424,0.43624,0.80151,0.68209,0.75102,0.42432,1.56258,2.53496,1.1623,1.39156,0.001604,0.001604,0.001604
6,621.73,1.51319,2.46226,1.22729,1.32862,0.78723,0.56102,0.65356,0.40459,0.84144,0.53937,0.63181,0.39215,1.56911,2.61729,1.38378,1.4374,0.001505,0.001505,0.001505
7,721.959,1.46112,2.43301,1.18418,1.29524,0.80933,0.70187,0.77578,0.4728,0.81812,0.70669,0.77498,0.46677,1.45351,2.29864,1.11817,1.34464,0.001406,0.001406,0.001406
8,820.743,1.44062,2.36159,1.12437,1.27723,0.81243,0.69783,0.79446,0.49316,0.81556,0.68764,0.77942,0.47817,1.43665,2.34318,1.00883,1.32242,0.001307,0.001307,0.001307
9,920.902,1.40779,2.30834,1.07806,1.26357,0.82356,0.67618,0.77526,0.50398,0.83459,0.66437,0.75602,0.47998,1.36327,2.39349,1.0748,1.30641,0.001208,0.001208,0.001208
10,1020.99,1.35756,2.20511,1.02245,1.23974,0.87655,0.75492,0.85127,0.5367,0.87084,0.75,0.83701,0.51658,1.33938,2.21232,0.91788,1.27746,0.001109,0.001109,0.001109
11,1118.18,1.33886,2.1871,0.93636,1.25452,0.87357,0.7628,0.85627,0.53749,0.87376,0.75689,0.84306,0.51773,1.32704,2.19707,0.91639,1.28006,0.00101,0.00101,0.00101
12,1210.8,1.31915,2.12548,0.8994,1.23219,0.90105,0.7815,0.87492,0.56288,0.88966,0.76575,0.85682,0.55075,1.28526,2.0898,0.84465,1.2154,0.000911,0.000911,0.000911
13,1303.12,1.26395,2.06126,0.84517,1.21089,0.89812,0.80709,0.88973,0.58875,0.89109,0.80217,0.87482,0.56217,1.22108,2.03748,0.79867,1.19433,0.000812,0.000812,0.000812
14,1395.74,1.25012,2.02863,0.83821,1.2019,0.88313,0.81069,0.88787,0.58834,0.87777,0.80577,0.87845,0.56888,1.24369,1.98093,0.80075,1.20925,0.000713,0.000713,0.000713
15,1487.81,1.2172,1.98193,0.79317,1.18038,0.86491,0.8255,0.89044,0.57299,0.88237,0.79001,0.87391,0.54895,1.26625,2.09412,0.80179,1.21724,0.000614,0.000614,0.000614
16,1580.21,1.18399,1.94288,0.74856,1.16433,0.9192,0.80619,0.89699,0.60088,0.91526,0.79823,0.88354,0.57254,1.19188,2.00396,0.76682,1.18916,0.000515,0.000515,0.000515
17,1672.48,1.16205,1.88571,0.72135,1.15154,0.91082,0.84436,0.9136,0.61326,0.90021,0.83463,0.90393,0.58511,1.18663,1.93877,0.71143,1.16654,0.000416,0.000416,0.000416
18,1764.54,1.12729,1.86388,0.68345,1.12116,0.92344,0.85472,0.92386,0.62411,0.92344,0.85472,0.91681,0.59965,1.17239,1.91473,0.6825,1.16194,0.000317,0.000317,0.000317
19,1856.77,1.08823,1.80438,0.64905,1.09803,0.90934,0.85335,0.91908,0.62892,0.91533,0.84063,0.90713,0.59972,1.14493,1.90836,0.6668,1.14857,0.000218,0.000218,0.000218
20,1948.69,1.06788,1.78054,0.62634,1.08565,0.91312,0.86899,0.92854,0.63727,0.90744,0.85877,0.91299,0.60918,1.13101,1.86677,0.6564,1.13814,0.000119,0.000119,0.000119
