epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4862,0.95744,2.32298,4.41086,1.24528,0.03375,0.0259,0.01952,0.01847,0.03375,0.0259,0.01952,0.01916,0.78508,1.83104,4.00977,1.13406,0.000108688,0.000108688,0.000108688
2,101.454,0.89199,1.86922,3.9406,1.18283,0.01969,0.51346,0.07256,0.06021,0.0193,0.50493,0.07318,0.062,0.89971,1.93657,3.59439,1.18939,0.000215338,0.000215338,0.000215338
3,140.598,0.92618,1.73502,3.46579,1.21878,0.54676,0.14976,0.11637,0.08394,0.54601,0.14319,0.11512,0.08491,1.10278,2.31988,2.93071,1.38529,0.000317592,0.000317592,0.000317592
4,180.78,0.92838,1.70953,2.9203,1.20157,0.4205,0.22128,0.17663,0.13876,0.41625,0.2205,0.17473,0.13721,0.95835,1.88758,2.61166,1.27231,0.00031322,0.00031322,0.00031322
5,220.779,0.91369,1.6114,2.61189,1.17916,0.5885,0.25853,0.24063,0.18425,0.58292,0.25612,0.23615,0.17221,1.03015,1.95614,2.45022,1.3091,0.000306626,0.000306626,0.000306626
6,261.526,0.86777,1.58759,2.41431,1.15709,0.55392,0.29073,0.32613,0.2639,0.54759,0.28045,0.31565,0.24967,0.96079,1.70077,2.05821,1.2302,0.000300033,0.000300033,0.000300033
7,301.469,0.85051,1.56265,2.24767,1.14056,0.57798,0.27614,0.34604,0.2836,0.5635,0.27883,0.33853,0.26801,0.87595,1.77969,2.04507,1.1818,0.00029344,0.00029344,0.00029344
8,341.311,0.79801,1.46389,2.08244,1.10649,0.51473,0.39022,0.36967,0.30588,0.68085,0.2932,0.37339,0.29315,0.89346,1.75844,1.99531,1.19249,0.000286846,0.000286846,0.000286846
9,381.309,0.78804,1.44938,1.93924,1.10283,0.53759,0.41803,0.44763,0.35989,0.53204,0.40602,0.43454,0.35268,0.90187,1.65156,1.80593,1.19531,0.000280253,0.000280253,0.000280253
10,421.068,0.79082,1.43671,1.84356,1.0989,0.62244,0.43544,0.42141,0.34142,0.60559,0.4241,0.41169,0.33434,0.8421,1.54294,1.78111,1.1556,0.000273659,0.000273659,0.000273659
11,460.182,0.76629,1.38598,1.75708,1.08522,0.56216,0.40451,0.44205,0.37401,0.56503,0.41162,0.44268,0.36535,0.87429,1.61724,1.78925,1.1832,0.000267066,0.000267066,0.000267066
12,499.296,0.76839,1.35115,1.638,1.08509,0.58525,0.42536,0.46698,0.3929,0.58385,0.42481,0.46437,0.38556,0.84204,1.48751,1.66041,1.1565,0.000260473,0.000260473,0.000260473
13,538.536,0.75356,1.34073,1.59428,1.0673,0.64425,0.40117,0.46208,0.40311,0.63707,0.394,0.46016,0.38955,0.83332,1.60825,1.78005,1.12836,0.000253879,0.000253879,0.000253879
14,577.604,0.74293,1.33768,1.54019,1.07229,0.54354,0.518,0.52651,0.44252,0.55647,0.47691,0.52719,0.43643,0.82493,1.49907,1.65748,1.13055,0.000247286,0.000247286,0.000247286
15,617.552,0.71581,1.28422,1.44077,1.0466,0.70798,0.37891,0.55478,0.46293,0.68072,0.39162,0.54914,0.44767,0.81301,1.57035,1.61169,1.10076,0.000240692,0.000240692,0.000240692
16,657.191,0.705,1.25878,1.40741,1.05148,0.68972,0.47765,0.61559,0.5289,0.69494,0.48316,0.62559,0.50091,0.80732,1.54088,1.59437,1.1175,0.000234099,0.000234099,0.000234099
17,696.258,0.70551,1.25013,1.36548,1.04091,0.55973,0.60722,0.61451,0.54021,0.56505,0.60995,0.62251,0.51866,0.80622,1.51957,1.49101,1.12247,0.000227506,0.000227506,0.000227506
18,735.326,0.69588,1.2667,1.32059,1.04264,0.69936,0.55401,0.58229,0.50999,0.71009,0.55727,0.59016,0.48556,0.77772,1.5212,1.53745,1.08445,0.000220912,0.000220912,0.000220912
19,777.202,0.68466,1.20408,1.27812,1.02941,0.5881,0.52753,0.58757,0.50061,0.72145,0.48641,0.59472,0.48702,0.79816,1.51545,1.58238,1.12361,0.000214319,0.000214319,0.000214319
20,816.066,0.69232,1.21613,1.2614,1.0292,0.55469,0.57552,0.64328,0.55956,0.55763,0.5787,0.64605,0.5513,0.79042,1.41398,1.50931,1.09786,0.000207725,0.000207725,0.000207725
21,856.004,0.6812,1.18047,1.21434,1.02631,0.7822,0.50477,0.64806,0.5509,0.77232,0.50068,0.64138,0.52919,0.81698,1.46415,1.49138,1.12404,0.000201132,0.000201132,0.000201132
