epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6119,1.12815,2.66165,4.83499,1.10534,0,0,0,0,0,0,0,0,1.08239,2.43284,4.38598,0.97741,0.000108,0.000108,0.000108
2,84.3786,1.12313,2.26659,4.25133,1.05027,0.04695,0.21397,0.04249,0.03488,0.04798,0.22262,0.04298,0.0339,1.14118,2.38765,4.11679,0.99207,0.000217555,0.000217555,0.000217555
3,110.468,1.17794,2.18497,3.73664,1.08464,0.01646,0.41084,0.04534,0.03436,0.01627,0.4151,0.04454,0.03409,1.24685,2.3832,3.58866,1.0739,0.000325644,0.000325644,0.000325644
4,136.936,1.21373,2.15234,3.46263,1.08956,0.44299,0.03305,0.04729,0.03396,0.44299,0.03305,0.04412,0.03006,1.25297,2.56877,3.39809,1.10016,0.000326407,0.000326407,0.000326407
5,163.531,1.16293,2.13808,3.20658,1.0698,0.31244,0.1209,0.06927,0.04736,0.31055,0.11915,0.06734,0.04501,1.28156,2.38359,2.96093,1.10584,0.000324209,0.000324209,0.000324209
6,190.191,1.14874,2.07803,3.06721,1.06014,0.26902,0.12998,0.08754,0.06584,0.26765,0.12808,0.08548,0.06165,1.24016,2.29973,2.79506,1.08529,0.000322011,0.000322011,0.000322011
7,217.055,1.12617,2.01092,2.97621,1.06194,0.37254,0.1412,0.08376,0.06153,0.36968,0.13781,0.07925,0.0534,1.24344,2.25366,2.70039,1.08251,0.000319813,0.000319813,0.000319813
8,243.845,1.07572,1.98384,2.85714,1.02618,0.25763,0.14337,0.10276,0.07924,0.26067,0.14015,0.09866,0.07561,1.25041,2.42488,2.76522,1.11025,0.000317615,0.000317615,0.000317615
9,271.113,1.11084,1.98535,2.80845,1.0438,0.29445,0.15067,0.08389,0.0614,0.28732,0.16356,0.07876,0.05251,1.23009,2.32812,2.79405,1.08883,0.000315418,0.000315418,0.000315418
10,297.52,1.09553,1.93527,2.70417,1.03605,0.34913,0.13014,0.10203,0.07477,0.34925,0.12457,0.10054,0.07003,1.20154,2.30744,2.61577,1.06307,0.00031322,0.00031322,0.00031322
11,323.85,1.06016,1.8799,2.64561,1.02377,0.37567,0.14331,0.11592,0.08752,0.36993,0.13953,0.10996,0.07749,1.19248,2.26078,2.6583,1.0799,0.000311022,0.000311022,0.000311022
12,350.324,1.05676,1.9278,2.55242,1.02622,0.33801,0.17189,0.12889,0.09813,0.32997,0.16469,0.12061,0.08497,1.20154,2.30009,2.72241,1.07344,0.000308824,0.000308824,0.000308824
13,376.772,1.07458,1.87182,2.54999,1.02192,0.27936,0.16017,0.10858,0.08103,0.27424,0.15664,0.1044,0.07463,1.21366,2.31729,2.61614,1.0751,0.000306626,0.000306626,0.000306626
14,403.475,1.05654,1.91442,2.48632,1.01389,0.26371,0.18706,0.12079,0.07873,0.25598,0.18212,0.1129,0.06963,1.22081,2.33085,2.60676,1.05514,0.000304429,0.000304429,0.000304429
