epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1258,0.96549,2.16986,3.26673,1.24008,0.41658,0.21077,0.21934,0.18321,0.37718,0.2305,0.22889,0.16934,0.88978,1.875,2.65046,1.27453,0.000109832,0.000109832,0.000109832
2,98.0767,0.87911,1.74651,2.65674,1.17347,0.4063,0.26996,0.28877,0.23993,0.40726,0.27282,0.29083,0.22452,0.84837,1.71548,2.30095,1.21801,0.000216459,0.000216459,0.000216459
3,133.931,0.844,1.63515,2.37114,1.14494,0.49235,0.31074,0.33637,0.2827,0.49199,0.3153,0.34055,0.26021,0.87025,1.70724,2.1217,1.21466,0.000318691,0.000318691,0.000318691
4,168.587,0.82892,1.58269,2.12139,1.12741,0.46434,0.39858,0.38122,0.32638,0.47177,0.40411,0.3862,0.30408,0.82286,1.55668,1.92032,1.19414,0.00031322,0.00031322,0.00031322
5,203.476,0.78849,1.46904,1.90868,1.10401,0.54568,0.39431,0.43848,0.37175,0.55036,0.39852,0.43974,0.34585,0.80046,1.55545,1.78508,1.15605,0.000306626,0.000306626,0.000306626
6,238.815,0.75095,1.42259,1.74458,1.08586,0.65716,0.4067,0.51824,0.45274,0.65549,0.40388,0.51211,0.42397,0.78042,1.47347,1.71794,1.13681,0.000300033,0.000300033,0.000300033
7,273.968,0.76769,1.39148,1.62087,1.08283,0.66685,0.44027,0.53222,0.46418,0.6764,0.44843,0.53798,0.44175,0.76764,1.47846,1.61181,1.12869,0.00029344,0.00029344,0.00029344
8,308.314,0.73925,1.35233,1.5377,1.07023,0.55231,0.50116,0.53361,0.46891,0.55739,0.51136,0.54046,0.44597,0.74607,1.45417,1.59121,1.10898,0.000286846,0.000286846,0.000286846
9,343.584,0.70737,1.27966,1.44069,1.05093,0.59257,0.46674,0.54621,0.47697,0.59685,0.46827,0.54648,0.456,0.75625,1.49634,1.5622,1.10999,0.000280253,0.000280253,0.000280253
10,379.043,0.69573,1.25139,1.36275,1.04419,0.6696,0.51455,0.58864,0.51879,0.67613,0.51376,0.59022,0.49855,0.72033,1.44107,1.51985,1.10808,0.000273659,0.000273659,0.000273659
11,413.991,0.68756,1.25174,1.34339,1.03745,0.76549,0.47623,0.64425,0.55923,0.75155,0.47152,0.6359,0.52625,0.74395,1.42592,1.47307,1.11955,0.000267066,0.000267066,0.000267066
12,448.277,0.68827,1.21581,1.27692,1.029,0.72576,0.53937,0.64648,0.56121,0.72959,0.53368,0.65288,0.54251,0.74799,1.38284,1.48823,1.10074,0.000260473,0.000260473,0.000260473
13,483.809,0.67224,1.17582,1.22464,1.02133,0.71078,0.52061,0.65604,0.5775,0.72776,0.49492,0.65712,0.55428,0.73869,1.35434,1.49053,1.11779,0.000253879,0.000253879,0.000253879
14,519.316,0.66274,1.18292,1.18687,1.01962,0.77988,0.51529,0.67739,0.59996,0.77999,0.51833,0.68033,0.56746,0.68828,1.44581,1.43222,1.06825,0.000247286,0.000247286,0.000247286
15,553.415,0.64922,1.17442,1.14118,1.01199,0.61766,0.59099,0.68231,0.60976,0.60807,0.58346,0.67383,0.57264,0.72632,1.4275,1.44153,1.0863,0.000240692,0.000240692,0.000240692
16,588.739,0.638,1.14617,1.10082,1.00451,0.64932,0.61765,0.71139,0.62668,0.64144,0.60844,0.70034,0.59409,0.70153,1.41528,1.37981,1.07439,0.000234099,0.000234099,0.000234099
17,624.043,0.62032,1.1022,1.0806,0.99919,0.71473,0.54527,0.67381,0.6,0.70352,0.547,0.67504,0.56512,0.72369,1.44535,1.47658,1.09163,0.000227506,0.000227506,0.000227506
18,659.205,0.64082,1.10024,1.05877,1.00708,0.75753,0.59176,0.68443,0.59696,0.74577,0.57939,0.67463,0.5725,0.74137,1.41198,1.40267,1.10768,0.000220912,0.000220912,0.000220912
